paper,game,matrixrow,matrixcol,choicerow,choicecol,shape,symmetric,subjects
stahlwilson1994,1,40 10 70; 20 80 0; 30 100 60,,11 40; 0 40; 29 40,,3 3,1,
stahlwilson1994,2,20 0 100; 60 20 0; 0 60 40,,26 40; 7 40; 7 40,,3 3,1,
stahlwilson1994,3,20 30 100; 40 40 60; 30 0 40,,14 40; 26 40; 0 40,,3 3,1,
stahlwilson1994,4,50 0 20; 50 10 100; 40 40 40,,0 40; 27 40; 13 40,,3 3,1,
stahlwilson1994,5,10 100 20; 0 70 30; 20 50 40,,18 40; 0 40; 22 40,,3 3,1,
stahlwilson1994,6,30 0 100; 40 40 80; 50 20 40,,4 40; 35 40; 1 40,,3 3,1,
stahlwilson1994,7,40 20 0; 30 20 100; 20 10 100,,6 40; 31 40; 3 40,,3 3,1,
stahlwilson1994,8,10 100 0; 0 60 70; 90 40 20,,8 40; 13 40; 19 40,,3 3,1,
stahlwilson1994,9,30 100 40; 20 60 40; 80 0 40,,26 40; 0 40; 14 40,,3 3,1,
stahlwilson1994,10,40 100 10; 60 50 30; 50 80 40,,5 40; 0 40; 35 40,,3 3,1,
stahlwilson1995,1,25 30 100; 40 45 65; 31 0 40,,7 48; 40 48; 1 48,,3 3,1,
stahlwilson1995,2,75 40 45; 70 15 100; 70 60 0,,30 48; 12 48; 6 48,,3 3,1,
stahlwilson1995,3,75 0 45; 80 35 45; 100 35 41,,5 48; 16 48; 27 48,,3 3,1,
stahlwilson1995,4,30 50 100; 40 45 10; 35 60 0,,26 48; 15 48; 7 48,,3 3,1,
stahlwilson1995,5,10 100 40; 0 70 50; 20 50 60,,14 48; 3 48; 31 48,,3 3,1,
stahlwilson1995,6,25 30 100; 60 31 51; 95 30 0,,11 48; 20 48; 17 48,,3 3,1,
stahlwilson1995,7,30 100 50; 40 0 90; 50 75 29,,21 48; 17 48; 10 48,,3 3,1,
stahlwilson1995,8,0 60 50; 100 20 50; 50 40 52,,12 48; 12 48; 24 48,,3 3,1,
stahlwilson1995,9,40 100 65; 33 25 65; 80 0 65,,26 48; 1 48; 21 48,,3 3,1,
stahlwilson1995,10,45 50 21; 41 0 40; 40 100 0,,39 48; 3 48; 6 48,,3 3,1,
stahlwilson1995,11,30 100 22; 35 0 45; 51 50 20,,13 48; 4 48; 31 48,,3 3,1,
stahlwilson1995,12,40 15 70; 22 80 0; 30 100 55,,26 48; 3 48; 19 48,,3 3,1,
rogersetal2009,unprofitable,40 60 10; 10 10 60; 40 40 40,,0.33; 0.24; 0.43,,3 3,1,74
rogersetal2009,clonedmatchingpennies,50 10 10; 10 20 20; 10 20 20,10 20 20; 20 10 10; 20 10 10,0.78; 0.10; 0.12,0.71; 0.22; 0.07,3 3,0,74
rogersetal2009,clonedstaghuntlow,21 10; 21 10; 20 20,21 20; 21 20; 10 20,0.24; 0.17; 0.59,0.34; 0.66,3 2,0,58
rogersetal2009,clonedstaghunthigh,31 10; 31 10; 20 20,31 20; 31 20; 10 20,0.45; 0.34; 0.21,0.90; 0.10,3 2,0,58
rogersetal2009,s-w1,35 39 95; 47 51 67; 40 15 47,,0.11; 0.81; 0.07,,3 3,1,74
rogersetal2009,s-w2,79 51 55; 59 31 99; 59 67 19,,0.80; 0.15; 0.06,,3 3,1,74
rogersetal2009,s-w3,73 13 49; 77 41 49; 93 41 46,,0.15; 0.17; 0.69,,3 3,1,74
rogersetal2009,s-w4,42 58 98; 50 54 26; 46 66 18,,0.61; 0.35; 0.04,,3 3,1,74
rogersetal2009,s-w5,21 93 45; 13 69 53; 29 53 61,,0.33; 0.28; 0.39,,3 3,1,74
rogersetal2009,s-w6,35 39 95; 63 40 56; 91 39 15,,0.44; 0.26; 0.30,,3 3,1,74
rogersetal2009,s-w7,37 93 53; 45 13 85; 53 73 36,,0.59; 0.13; 0.28,,3 3,1,74
rogersetal2009,s-w8,11 59 51; 91 27 51; 51 43 53 ,,0.17; 0.20; 0.63,,3 3,1,74
rogersetal2009,s-w9,50 98 70; 44 38 70; 82 18 70,,0.65; 0.04; 0.31,,3 3,1,74
rogersetal2009,s-w10,47 51 28; 44 11 43; 43 91 11,,0.52; 0.19; 0.30,,3 3,1,74
rogersetal2009,s-w11,41 97 35; 45 17 53; 58 57 33,,0.50; 0.17; 0.33,,3 3,1,74
rogersetal2009,s-w12,50 30 74; 36 82 18; 42 98 62,,0.24; 0.17; 0.59,,3 3,1,74
rogersetal2009,clonedjoker,30 10 10 10; 30 10 10 10; 10 10 30 30; 10 30 10 30; 10 30 30 10,10 30 30 30; 10 30 30 30; 30 30 10 10; 30 10 30 10; 30 10 10 30,0.07; 0.07; 0.17; 0.28; 0.41,0.38; 0.34; 0.17; 0.10,5 4,0,58
haruvyetal2001,1,25 30 100; 40 45 65; 31 0 40,,25 58; 33 58; 0 58,,3 3,1,
haruvyetal2001,2,75 40 45; 70 15 100; 70 60 0,,15 58; 31 58; 12 58,,3 3,1,
haruvyetal2001,3,10 100 0; 5 60 70; 80 30 10,,15 58; 28 58; 15 58,,3 3,1,
haruvyetal2001,4,70 90 38; 100 0 40; 88 48 43,,29 58; 10 58; 19 58,,3 3,1,
haruvyetal2001,5,30 50 100; 40 45 10; 35 60 0,,45 58; 10 58; 3 58,,3 3,1,
haruvyetal2001,6,10 100 40; 0 70 50; 20 50 60,,28 58; 4 58; 25 58,,3 3,1,
haruvyetal2001,7,25 30 100; 60 31 51; 95 30 0,,31 58; 8 58; 19 58,,3 3,1,
haruvyetal2001,8,80 60 0; 40 10 50; 100 5 20,,27 58; 9 58; 22 58,,3 3,1,
haruvyetal2001,9,75 0 45; 80 35 45; 100 35 41,,3 58; 14 58; 41 58,,3 3,1,
haruvyetal2001,10,30 100 50; 40 0 90; 50 75 29,,32 58; 12 58; 14 58,,3 3,1,
haruvyetal2001,11,0 100 50; 90 63 50; 46 82 52,,15 58; 35 58; 8 35,,3 3,1,
haruvyetal2001,12,40 100 65; 33 25 65; 80 0 65,,35 58; 3 58; 20 58,,3 3,1,
haruvyetal2001,13,45 50 21; 41 0 40; 40 100 0,,13 58; 10 58; 35 58,,3 3,1,
haruvyetal2001,14,30 100 22; 35 0 45; 51 50 20,,33 58; 2 58; 23 58,,3 3,1,
haruvyetal2001,15,40 15 70; 22 80 0; 30 100 55,,17 58; 2 58; 39 58,,3 3,1,
haruvystahl2007,1,70 60 90; 60 80 50; 40 20 100,,116 147; 7 147; 24 147,,3 3,1,
haruvystahl2007,2,60 0 0; 0 55 25; 100 35 35,,1 147; 10 147; 136 147,,3 3,1,
haruvystahl2007,3,25 30 100; 40 45 65; 31 0 40,,65 147; 76 147; 6 147,,3 3,1,
haruvystahl2007,4,70 30 20; 60 60 30; 45 45 40,,21 147; 118 147; 8 147,,3 3,1,
haruvystahl2007,5,35 70 35; 0 60 0; 25 0 55,,134 147; 4 147; 9 147,,3 3,1,
haruvystahl2007,6,40 15 70; 22 80 0; 30 100 55,,32 147; 5 147; 110 147,,3 3,1,
haruvystahl2007,7,60 30 60; 50 25 25; 30 20 70,,124 147; 5 147; 18 147,,3 3,1,
haruvystahl2007,8,35 35 70; 25 55 100; 0 0 60,,4 147; 139 147; 4 147,,3 3,1,
haruvystahl2007,9,30 50 100; 40 45 10; 35 60 0,,120 147; 19 147; 8 147,,3 3,1,
haruvystahl2007,10,25 45 55; 35 50 35; 30 45 60,,3 147; 7 147; 137 147,,3 3,1,
haruvystahl2007,11,55 25 65; 35 35 70; 0 0 60,,98 147; 46 147; 3 147,,3 3,1,
haruvystahl2007,12,30 100 22; 35 0 45; 51 50 20,,96 147; 13 147; 38 147,,3 3,1,
haruvystahl2007,13,60 60 30; 30 70 20; 70 25 35,,102 147; 15 147; 30 147,,3 3,1,
haruvystahl2007,14,50 0 0; 70 35 35; 0 25 55,,4 147; 128 147; 15 147,,3 3,1,
haruvystahl2007,15,75 40 45; 70 15 100; 70 60 0,,43 147; 77 147; 27 147,,3 3,1,
haruvystahl2007,16,20 0 60; 0 60 0; 10 25 25,,110 147; 22 147; 15 147,,3 3,1,
haruvystahl2007,17,50 0 0; 0 55 25; 100 35 35,,4 147; 10 147; 133 147,,3 3,1,
haruvystahl2007,18,25 30 100; 60 31 51; 95 30 0,,72 147; 28 147; 47 147,,3 3,1,
haruvystahl2007,19,80 60 50; 60 70 90; 0 0 100,,29 147; 97 147; 21 147,,3 3,1,
haruvystahl2007,20,55 0 25; 50 50 30; 35 100 35,,2 147; 11 147; 134 147,,3 3,1,
stahlharuvy2008,1,0 35 100; 55 40 20; 30 0 0,,26 75; 49 75; 0 75,,3 3,1,
stahlharuvy2008,2,1 0 0; 100 10 5; 5 5 90,,1 75; 36 75; 38 75,,3 3,1,
stahlharuvy2008,3,30 50 100; 40 45 10; 35 60 0,,64 75; 8 75; 3 75,,3 3,1,
stahlharuvy2008,4,55 10 100; 5 90 5; 15 0 0,,62 75; 12 75; 1 75,,3 3,1,
stahlharuvy2008,5,80 80 20; 20 100 0; 100 10 30,,53 75; 4 75; 18 75,,3 3,1,
stahlharuvy2008,6,10 5 5; 100 30 35; 0 80 30,,1 75; 41 75; 33 75,,3 3,1,
stahlharuvy2008,7,80 10 5; 25 0 10; 5 100 20,,36 75; 1 75; 38 75,,3 3,1,
stahlharuvy2008,8,15 0 0; 0 90 10; 100 0 20,,0 75; 42 75; 33 75,,3 3,1,
stahlharuvy2008,9,35 0 100; 1 100 1; 10 40 40,,44 75; 27 75; 4 75,,3 3,1,
stahlharuvy2008,10,25 0 0; 0 55 25; 100 35 35,,0 75; 12 75; 63 75,,3 3,1,
stahlharuvy2008,11,80 60 50; 60 70 90; 0 0 100,,17 75; 52 75; 6 75,,3 3,1,
stahlharuvy2008,12,20 100 20; 5 5 5; 0 5 90,,54 75; 0 75; 21 75,,3 3,1,
stahlharuvy2008,13,70 90 38; 100 0 40; 88 48 43,,39 75; 14 75; 22 75,,3 3,1,
stahlharuvy2008,14,10 10 10; 15 80 15; 100 0 30,,1 75; 43 75; 31 75,,3 3,1,
stahlharuvy2008,15,20 0 100; 10 90 0; 0 0 5,,30 75; 44 75; 1 75,,3 3,1,
stahlharuvy2008,16,75 10 100; 5 90 5; 0 1 1,,36 47; 11 47; 0 47,,3 3,1,
stahlharuvy2008,17,1 0 0; 10 90 10; 100 5 20,,0 47; 29 47; 18 47,,3 3,1,
stahlharuvy2008,18,10 100 10; 0 0 0; 5 5 90,,13 47; 0 47; 34 47,,3 3,1,
goereeholt2001,symmetricmatchingpennies,80 40; 40 80,40 80; 80 40,48 100; 52 100,48 100; 52 100,2 2,0,50
goereeholt2001,asymmetricmatchingpennies,320 40; 40 80,40 80; 80 40,96 100; 4 100,16 100; 84 100,2 2,0,50
goereeholt2001,reversedasymmetrymatchingpennies,44 40; 40 80,40 80; 80 40,8 100; 92 100,80 100; 20 100,2 2,0,50
goereeholt2001,basickrepsgame,200 0 10 20; 0 10 30 50,50 45 30 -250; -250 -100 30 40,68 100; 32 100,26 100; 8 100; 68 100; 0 100,2 4,0,50
goereeholt2001,positivepayoffframekrepsgame,500 300 310 320; 300 310 330 350,350 345 330 50; 50 200 330 340,84 100; 16 100,24 100; 12 100; 64 100; 0 100,2 4,0,50
rydvalortmann2005,1,80 10; 30 30,,0.796; 0.204,,2 2,1,
rydvalortmann2005,2,80 10; 50 50,,0.48; 0.52,,2 2,1,
rydvalortmann2005,3,20 -50; -10 -10,,0.582; 0.418,,2 2,1,
rydvalortmann2005,4,240 30; 150 150,,0.475; 0.525,,2 2,1,
rydvalortmann2005,5,60 -150; -30 -30,,0.475; 0.525,,2 2,1,
haruvystahl1998,4,70 30 20; 60 60 30; 45 45 40,,9 47; 35 47; 3 47,,3 3,1,
haruvystahl1998,7,60 30 60; 50 25 25; 30 20 70,,39 47; 1 47; 7 47,,3 3,1,
haruvystahl1998,10,25 45 55; 35 50 35; 30 45 60,,1 47; 2 47; 44 47,,3 3,1,
haruvystahl1998,13,60 60 30; 30 70 20; 70 25 35,,32 47; 6 47; 9 47,,3 3,1,
haruvystahl1998,16,20 0 60; 0 60 0; 10 25 25,,37 47; 7 47; 3 47,,3 3,1,
haruvystahl1998,2,60 0 0; 0 55 25; 100 35 35,,0 47; 4 47; 43 47,,3 3,1,
haruvystahl1998,5,35 70 35; 0 60 0; 25 0 55,,44 47; 0 47; 3 47,,3 3,1,
haruvystahl1998,8,35 35 70; 25 55 100; 0 0 60,,0 47; 46 47; 1 47,,3 3,1,
haruvystahl1998,11,55 25 65; 35 35 70; 0 0 60,,30 47; 16 47; 1 47,,3 3,1,
haruvystahl1998,14,50 0 0; 70 35 35; 0 25 55,,1 47; 41 47; 5 47,,3 3,1,
haruvystahl1998,17,50 0 0; 0 55 25; 100 35 35,,0 47; 3 47; 44 47,,3 3,1,
haruvystahl1998,20,55 0 25; 50 50 30; 35 100 35,,0 47; 3 47; 44 47,,3 3,1,
haruvystahl1998,1,70 60 90; 60 80 50; 40 20 100,,36 47; 1 47; 10 47,,3 3,1,
haruvystahl1998,19,80 60 50; 60 70 90; 0 0 100,,9 47; 29 47; 9 47,,3 3,1,
haruvystahl1998,3,25 30 100; 40 45 65; 31 0 40,,20 47; 25 47; 2 47,,3 3,1,
haruvystahl1998,6,40 15 70; 22 80 0; 30 100 55,,14 47; 1 47; 32 47,,3 3,1,
haruvystahl1998,9,30 50 100; 40 45 10; 35 60 0,,38 47; 9 47; 0 47,,3 3,1,
haruvystahl1998,12,30 100 22; 35 0 45; 51 50 20,,28 47; 3 47; 16 47,,3 3,1,
haruvystahl1998,15,75 40 45; 70 15 100; 70 60 0,,9 47; 29 47; 9 47,,3 3,1,
haruvystahl1998,18,25 30 100; 60 31 51; 95 30 0,,25 47; 14 47; 8 47,,3 3,1,
costa-gomesetal1998,2a,72 31; 84 55,93 46; 52 79,27 36; 9 36,21 36; 15 36,2 2,0,
costa-gomesetal1998,2b,94 38; 45 14,23 57; 89 18,33 36; 3 36,26 36; 10 36,2 2,0,
costa-gomesetal1998,3a,75 42; 48 89,51 27; 80 68,25 36; 11 36,33 36; 3 36,2 2,0,
costa-gomesetal1998,3b,21 87; 55 16,92 43; 36 12,26 36; 10 36,34 36; 2 36,2 2,0,
costa-gomesetal1998,4a,59 46 85; 38 70 37,58 83 61; 29 52 23,25 36; 11 36,31 36; 5 36,2 3,0,
costa-gomesetal1998,4b,31 68; 72 47; 91 43,32 46; 43 61; 65 84,14 36; 2 36; 20 36,32 36; 4 36,3 2,0,
costa-gomesetal1998,4c,28 57; 22 60; 51 82,37 58; 36 84; 69 45,33 36; 3 36,20 36; 16 36,3 2,0,
costa-gomesetal1998,4d,42 57 80; 28 39 61,64 43 39; 27 68 87,32 36; 4 36,28 36; 1 36; 7 36,2 3,0,
costa-gomesetal1998,5a,53 24; 79 42; 28 71,86 19; 57 73; 23 50,6 36; 1 36; 29 36,21 36; 15 36,3 2,0,
costa-gomesetal1998,5b,76 25; 43 74; 94 59,93 12; 40 62; 16 37,4 36; 5 36; 27 36,25 36; 11 36,3 2,0,
costa-gomesetal1998,6a,21 52 75; 88 25 59,26 73 44; 55 30 81,25 36; 11 36,6 36; 2 36; 28 36,2 3,0,
costa-gomesetal1998,6b,42 95 18; 64 14 39,45 78 96; 76 27 61,22 36; 14 36,6 36; 4 36; 26 36,2 3,0,
costa-gomesetal1998,7a,87 18 63; 65 96 24,32 37 76; 89 63 30,19 36; 17 36,7 36; 3 36; 26 36,2 3,0,
costa-gomesetal1998,7b,67 95 31; 89 23 56,91 64 35; 49 53 78,20 36; 16 36,7 36; 2 36; 27 36,2 3,0,
costa-gomesetal1998,8a,72 26; 33 59; 28 85,59 20; 14 92; 83 61,9 36; 3 36; 24 36,17 36; 19 36,3 2,0,
costa-gomesetal1998,8b,46 57; 71 28; 42 84,16 88; 49 24; 82 60,8 36; 3 36; 25 36,17 36; 19 36,3 2,0,
costa-gomesetal1998,9a,22 57; 30 28; 15 61; 45 82,14 55; 42 37; 60 88; 66 31,33 36; 3 36,23 36; 13 36,3 2,0,
costa-gomesetal1998,9b,56 38 89 32; 15 43 61 67,58 29 62 86; 23 31 16 46,30 36; 6 36,31 36; 5 36,2 4,0,
