unique,paper,game,matrixrow,matrixcol,actionrow,actioncol,shape,symmetric,repeat
40,rogersetal2009,clonedjoker,"[[30, 10, 10, 10], [30, 10, 10, 10], [10, 10, 30, 30], [10, 30, 10, 30], [10, 30, 30, 10]]","[[10, 30, 30, 30], [10, 30, 30, 30], [30, 30, 10, 10], [30, 10, 30, 10], [30, 10, 10, 30]]","[0.07, 0.07, 0.17, 0.28, 0.41]","[0.38, 0.34, 0.17, 0.10]","[5, 4]",0,
41,haruvyetal2001,1,"[[25, 30, 100], [40, 45, 65], [31, 0, 40]]",,"[25/58, 33/58, 0/58]",,"[3, 3]",1,
42,haruvyetal2001,2,"[[75, 40, 45], [70, 15, 100], [70, 60, 0]]",,"[15/58, 31/58, 12/58]",,"[3, 3]",1,
43,haruvyetal2001,3,"[[10, 100, 0], [5, 60, 70], [80, 30, 10]]",,"[15/58, 28/58, 15/58]",,"[3, 3]",1,
44,haruvyetal2001,4,"[[70, 90, 38], [100, 0, 40], [88, 48, 43]]",,"[29/58, 10/58, 19/58]",,"[3, 3]",1,
45,haruvyetal2001,5,"[[30, 50, 100], [40, 45, 10], [35, 60, 0]]",,"[45/58, 10/58, 3/58]",,"[3, 3]",1,"[15, 45]"
46,haruvyetal2001,6,"[[10, 100, 40], [0, 70, 50], [20, 50, 60]]",,"[28/58, 4/58, 25/58]",,"[3, 3]",1,"[16, 46]"
47,haruvyetal2001,7,"[[25, 30, 100], [60, 31, 51], [95, 30, 0]]",,"[31/58, 8/58, 19/58]",,"[3, 3]",1,"[17, 47]"
48,haruvyetal2001,8,"[[80, 60, 0], [40, 10, 50], [100, 5, 20]]",,"[27/58, 9/58, 22/58]",,"[3, 3]",1,
49,haruvyetal2001,9,"[[75, 0, 45], [80, 35, 45], [100, 35, 41]]",,"[3/58, 14/58, 41/58]",,"[3, 3]",1,"[14, 49]"
50,haruvyetal2001,10,"[[30, 100, 50], [40, 0, 90], [50, 75, 29]]",,"[32/58, 12/58, 14/58]",,"[3, 3]",1,"[18, 50]"
51,haruvyetal2001,11,"[[0, 100, 50], [90, 63, 50], [46, 82, 52]]",,"[15/58, 35/58, 8/35]",,"[3, 3]",1,
52,haruvyetal2001,12,"[[40, 100, 65], [33, 25, 65], [80, 0, 65]]",,"[35/58, 3/58, 20/58]",,"[3, 3]",1,"[20, 52]"
53,haruvyetal2001,13,"[[45, 50, 21], [41, 0, 40], [40, 100, 0]]",,"[13/58, 10/58, 35/58]",,"[3, 3]",1,"[21, 53]"
54,haruvyetal2001,14,"[[30, 100, 22], [35, 0, 45], [51, 50, 20]]",,"[33/58, 2/58, 23/58]",,"[3, 3]",1,"[22, 54]"
55,haruvyetal2001,15,"[[40, 15, 70], [22, 80, 0], [30, 100, 55]]",,"[17/58, 2/58, 39/58]",,"[3, 3]",1,"[23, 55]"
